Date,HomeTeam,AwayTeam,FTHG,FTAG,GoalDifference,FTR,Tournament,CityVenue,CountryVenue,VenueNeutrality
2021-06-19,Spain,Poland,1.0,1.0,0.0,1,UEFA Euro,Seville,Spain,False
2021-06-19,Hungary,France,1.0,1.0,0.0,1,UEFA Euro,Budapest,Hungary,False
2021-06-19,Germany,Portugal,4.0,2.0,2.0,2,UEFA Euro,Munich,Germany,False
2021-06-18,Sweden,Slovakia,1.0,0.0,1.0,2,UEFA Euro,Saint Petersburg,Russia,True
2021-06-18,England,Scotland,0.0,0.0,0.0,1,UEFA Euro,London,England,False
2021-06-18,Croatia,Czech Republic,1.0,1.0,0.0,1,UEFA Euro,Glasgow,Scotland,True
2021-06-17,Denmark,Belgium,1.0,2.0,-1.0,0,UEFA Euro,Copenhagen,Denmark,False
2021-06-17,Netherlands,Austria,2.0,0.0,2.0,2,UEFA Euro,Amsterdam,Netherlands,False
2021-06-17,Ukraine,North Macedonia,2.0,1.0,1.0,2,UEFA Euro,Bucharest,Romania,True
2021-06-16,Russia,Finland,1.0,0.0,1.0,2,UEFA Euro,Saint Petersburg,Russia,False
2021-06-16,Turkey,Wales,0.0,2.0,-2.0,0,UEFA Euro,Baku,Azerbaijan,True
2021-06-16,Italy,Switzerland,3.0,0.0,3.0,2,UEFA Euro,Rome,Italy,False
2021-06-15,Germany,France,0.0,1.0,-1.0,0,UEFA Euro,Munich,Germany,False
2021-06-15,Hungary,Portugal,0.0,3.0,-3.0,0,UEFA Euro,Budapest,Hungary,False
2021-06-14,Spain,Sweden,0.0,0.0,0.0,1,UEFA Euro,Seville,Spain,False
2021-06-14,Poland,Slovakia,1.0,2.0,-1.0,0,UEFA Euro,Saint Petersburg,Russia,True
2021-06-14,Scotland,Czech Republic,0.0,2.0,-2.0,0,UEFA Euro,Glasgow,Scotland,False
2021-06-13,England,Croatia,1.0,0.0,1.0,2,UEFA Euro,London,England,False
2021-06-13,Netherlands,Ukraine,3.0,2.0,1.0,2,UEFA Euro,Amsterdam,Netherlands,False
2021-06-13,Austria,North Macedonia,3.0,1.0,2.0,2,UEFA Euro,Bucharest,Romania,True
2021-06-12,Wales,Switzerland,1.0,1.0,0.0,1,UEFA Euro,Cardiff,Wales,False
2021-06-12,Denmark,Finland,0.0,1.0,-1.0,0,UEFA Euro,Copenhagen,Denmark,False
2021-06-12,Russia,Belgium,0.0,3.0,-3.0,0,UEFA Euro,Saint Petersburg,Russia,False
2021-06-11,Italy,Turkey,3.0,0.0,3.0,2,UEFA Euro,Rome,Italy,False
2016-07-10,France,Portugal,0.0,1.0,-1.0,0,UEFA Euro,Saint-Denis,France,False
2016-07-07,France,Germany,2.0,0.0,2.0,2,UEFA Euro,Marseille,France,False
2016-07-06,Portugal,Wales,2.0,0.0,2.0,2,UEFA Euro,Lyon,France,True
2016-07-03,France,Iceland,5.0,2.0,3.0,2,UEFA Euro,Saint-Denis,France,False
2016-07-02,Germany,Italy,1.0,1.0,0.0,1,UEFA Euro,Bordeaux,France,True
2016-07-01,Wales,Belgium,3.0,1.0,2.0,2,UEFA Euro,Villeneuve-d'Ascq,France,True
2016-06-30,Poland,Portugal,1.0,1.0,0.0,1,UEFA Euro,Marseille,France,True
2016-06-27,Italy,Spain,2.0,0.0,2.0,2,UEFA Euro,Saint-Denis,France,True
2016-06-27,England,Iceland,1.0,2.0,-1.0,0,UEFA Euro,Nice,France,True
2016-06-26,Hungary,Belgium,0.0,4.0,-4.0,0,UEFA Euro,Toulouse,France,True
2016-06-26,Germany,Slovakia,3.0,0.0,3.0,2,UEFA Euro,Villeneuve-d'Ascq,France,True
2016-06-26,France,Republic of Ireland,2.0,1.0,1.0,2,UEFA Euro,Lyon,France,False
2016-06-25,Wales,Northern Ireland,1.0,0.0,1.0,2,UEFA Euro,Paris,France,True
2016-06-25,Croatia,Portugal,0.0,1.0,-1.0,0,UEFA Euro,Lens,France,True
2016-06-25,Switzerland,Poland,1.0,1.0,0.0,1,UEFA Euro,Saint-Étienne,France,True
2016-06-22,Italy,Republic of Ireland,0.0,1.0,-1.0,0,UEFA Euro,Villeneuve-d'Ascq,France,True
2016-06-22,Hungary,Portugal,3.0,3.0,0.0,1,UEFA Euro,Lyon,France,True
2016-06-22,Iceland,Austria,2.0,1.0,1.0,2,UEFA Euro,Saint-Denis,France,True
2016-06-22,Sweden,Belgium,0.0,1.0,-1.0,0,UEFA Euro,Nice,France,True
2016-06-21,Czech Republic,Turkey,0.0,2.0,-2.0,0,UEFA Euro,Lens,France,True
2016-06-21,Croatia,Spain,2.0,1.0,1.0,2,UEFA Euro,Bordeaux,France,True
2016-06-21,Northern Ireland,Germany,0.0,1.0,-1.0,0,UEFA Euro,Paris,France,True
2016-06-21,Ukraine,Poland,0.0,1.0,-1.0,0,UEFA Euro,Marseille,France,True
2016-06-20,Slovakia,England,0.0,0.0,0.0,1,UEFA Euro,Saint-Étienne,France,True
2016-06-20,Russia,Wales,0.0,3.0,-3.0,0,UEFA Euro,Toulouse,France,True
2016-06-19,France,Switzerland,0.0,0.0,0.0,1,UEFA Euro,Villeneuve-d'Ascq,France,False
2016-06-19,Romania,Albania,0.0,1.0,-1.0,0,UEFA Euro,Lyon,France,True
2016-06-18,Portugal,Austria,0.0,0.0,0.0,1,UEFA Euro,Lyon,France,True
2016-06-18,Iceland,Hungary,1.0,1.0,0.0,1,UEFA Euro,Marseille,France,True
2016-06-18,Belgium,Republic of Ireland,3.0,0.0,3.0,2,UEFA Euro,Bordeaux,France,True
2016-06-17,Czech Republic,Croatia,2.0,2.0,0.0,1,UEFA Euro,Saint-Étienne,France,True
2016-06-17,Spain,Turkey,3.0,0.0,3.0,2,UEFA Euro,Nice,France,True
2016-06-17,Italy,Sweden,1.0,0.0,1.0,2,UEFA Euro,Toulouse,France,True
2016-06-16,Ukraine,Northern Ireland,0.0,2.0,-2.0,0,UEFA Euro,Lyon,France,True
2016-06-16,Germany,Poland,0.0,0.0,0.0,1,UEFA Euro,Saint-Denis,France,True
2016-06-16,England,Wales,2.0,1.0,1.0,2,UEFA Euro,Lens,France,True
2016-06-15,Russia,Slovakia,1.0,2.0,-1.0,0,UEFA Euro,Villeneuve-d'Ascq,France,True
2016-06-15,France,Albania,2.0,0.0,2.0,2,UEFA Euro,Marseille,France,False
2016-06-15,Romania,Switzerland,1.0,1.0,0.0,1,UEFA Euro,Paris,France,True
2016-06-14,Austria,Hungary,0.0,2.0,-2.0,0,UEFA Euro,Bordeaux,France,True
2016-06-14,Portugal,Iceland,1.0,1.0,0.0,1,UEFA Euro,Saint-Étienne,France,True
2016-06-13,Belgium,Italy,0.0,2.0,-2.0,0,UEFA Euro,Lyon,France,True
2016-06-13,Republic of Ireland,Sweden,1.0,1.0,0.0,1,UEFA Euro,Saint-Denis,France,True
2016-06-13,Spain,Czech Republic,1.0,0.0,1.0,2,UEFA Euro,Toulouse,France,True
2016-06-12,Germany,Ukraine,2.0,0.0,2.0,2,UEFA Euro,Villeneuve-d'Ascq,France,True
2016-06-12,Turkey,Croatia,0.0,1.0,-1.0,0,UEFA Euro,Paris,France,True
2016-06-12,Poland,Northern Ireland,1.0,0.0,1.0,2,UEFA Euro,Nice,France,True
2016-06-11,Wales,Slovakia,2.0,1.0,1.0,2,UEFA Euro,Bordeaux,France,True
2016-06-11,England,Russia,1.0,1.0,0.0,1,UEFA Euro,Marseille,France,True
2016-06-11,Albania,Switzerland,0.0,1.0,-1.0,0,UEFA Euro,Lens,France,True
2016-06-10,France,Romania,2.0,1.0,1.0,2,UEFA Euro,Saint-Denis,France,False
2012-07-01,Spain,Italy,4.0,0.0,4.0,2,UEFA Euro,Kyiv,Ukraine,True
2012-06-28,Germany,Italy,1.0,2.0,-1.0,0,UEFA Euro,Warsaw,Poland,True
2012-06-27,Portugal,Spain,0.0,0.0,0.0,1,UEFA Euro,Donetsk,Ukraine,True
2012-06-24,England,Italy,0.0,0.0,0.0,1,UEFA Euro,Kyiv,Ukraine,True
2012-06-23,Spain,France,2.0,0.0,2.0,2,UEFA Euro,Donetsk,Ukraine,True
2012-06-22,Germany,Greece,4.0,2.0,2.0,2,UEFA Euro,Gdańsk,Poland,True
2012-06-21,Czech Republic,Portugal,0.0,1.0,-1.0,0,UEFA Euro,Warsaw,Poland,True
2012-06-19,Ukraine,England,0.0,1.0,-1.0,0,UEFA Euro,Donetsk,Ukraine,False
2012-06-19,Sweden,France,2.0,0.0,2.0,2,UEFA Euro,Kyiv,Ukraine,True
2012-06-18,Italy,Republic of Ireland,2.0,0.0,2.0,2,UEFA Euro,Poznań,Poland,True
2012-06-18,Croatia,Spain,0.0,1.0,-1.0,0,UEFA Euro,Gdańsk,Poland,True
2012-06-17,Portugal,Netherlands,2.0,1.0,1.0,2,UEFA Euro,Kharkiv,Ukraine,True
2012-06-17,Denmark,Germany,1.0,2.0,-1.0,0,UEFA Euro,Lviv,Ukraine,True
2012-06-16,Poland,Czech Republic,0.0,1.0,-1.0,0,UEFA Euro,Wrocław,Poland,False
2012-06-16,Greece,Russia,1.0,0.0,1.0,2,UEFA Euro,Warsaw,Poland,True
2012-06-15,Ukraine,France,0.0,2.0,-2.0,0,UEFA Euro,Donetsk,Ukraine,False
2012-06-15,Sweden,England,2.0,3.0,-1.0,0,UEFA Euro,Kyiv,Ukraine,True
2012-06-14,Italy,Croatia,1.0,1.0,0.0,1,UEFA Euro,Poznań,Poland,True
2012-06-14,Spain,Republic of Ireland,4.0,0.0,4.0,2,UEFA Euro,Gdańsk,Poland,True
2012-06-13,Denmark,Portugal,2.0,3.0,-1.0,0,UEFA Euro,Lviv,Ukraine,True
2012-06-13,Netherlands,Germany,1.0,2.0,-1.0,0,UEFA Euro,Kharkiv,Ukraine,True
2012-06-12,Poland,Russia,1.0,1.0,0.0,1,UEFA Euro,Warsaw,Poland,False
2012-06-12,Greece,Czech Republic,1.0,2.0,-1.0,0,UEFA Euro,Wrocław,Poland,True
2012-06-11,Ukraine,Sweden,2.0,1.0,1.0,2,UEFA Euro,Kyiv,Ukraine,False
2012-06-11,France,England,1.0,1.0,0.0,1,UEFA Euro,Donetsk,Ukraine,True
2012-06-10,Spain,Italy,1.0,1.0,0.0,1,UEFA Euro,Gdańsk,Poland,True
2012-06-10,Republic of Ireland,Croatia,1.0,3.0,-2.0,0,UEFA Euro,Poznań,Poland,True
2012-06-09,Netherlands,Denmark,0.0,1.0,-1.0,0,UEFA Euro,Kharkiv,Ukraine,True
2012-06-09,Germany,Portugal,1.0,0.0,1.0,2,UEFA Euro,Lviv,Ukraine,True
2012-06-08,Russia,Czech Republic,4.0,1.0,3.0,2,UEFA Euro,Wrocław,Poland,True
2012-06-08,Poland,Greece,1.0,1.0,0.0,1,UEFA Euro,Warsaw,Poland,False
2008-06-29,Germany,Spain,0.0,1.0,-1.0,0,UEFA Euro,Vienna,Austria,True
2008-06-26,Russia,Spain,0.0,3.0,-3.0,0,UEFA Euro,Vienna,Austria,True
2008-06-25,Germany,Turkey,3.0,2.0,1.0,2,UEFA Euro,Basel,Switzerland,True
2008-06-22,Spain,Italy,0.0,0.0,0.0,1,UEFA Euro,Vienna,Austria,True
2008-06-21,Netherlands,Russia,1.0,3.0,-2.0,0,UEFA Euro,Basel,Switzerland,True
2008-06-20,Croatia,Turkey,1.0,1.0,0.0,1,UEFA Euro,Vienna,Austria,True
2008-06-19,Portugal,Germany,2.0,3.0,-1.0,0,UEFA Euro,Basel,Switzerland,True
2008-06-18,Greece,Spain,1.0,2.0,-1.0,0,UEFA Euro,Salzburg,Austria,True
2008-06-18,Russia,Sweden,2.0,0.0,2.0,2,UEFA Euro,Innsbruck,Austria,True
2008-06-17,France,Italy,0.0,2.0,-2.0,0,UEFA Euro,Zürich,Switzerland,True
2008-06-17,Netherlands,Romania,2.0,0.0,2.0,2,UEFA Euro,Berne,Switzerland,True
2008-06-16,Poland,Croatia,0.0,1.0,-1.0,0,UEFA Euro,Klagenfurt,Austria,True
2008-06-16,Austria,Germany,0.0,1.0,-1.0,0,UEFA Euro,Vienna,Austria,False
2008-06-15,Switzerland,Portugal,2.0,0.0,2.0,2,UEFA Euro,Basel,Switzerland,False
2008-06-15,Turkey,Czech Republic,3.0,2.0,1.0,2,UEFA Euro,Geneva,Switzerland,True
2008-06-14,Sweden,Spain,1.0,2.0,-1.0,0,UEFA Euro,Innsbruck,Austria,True
2008-06-14,Greece,Russia,0.0,1.0,-1.0,0,UEFA Euro,Salzburg,Austria,True
2008-06-13,Italy,Romania,1.0,1.0,0.0,1,UEFA Euro,Zürich,Switzerland,True
2008-06-13,Netherlands,France,4.0,1.0,3.0,2,UEFA Euro,Berne,Switzerland,True
2008-06-12,Croatia,Germany,2.0,1.0,1.0,2,UEFA Euro,Klagenfurt,Austria,True
2008-06-12,Austria,Poland,1.0,1.0,0.0,1,UEFA Euro,Vienna,Austria,False
2008-06-11,Switzerland,Turkey,1.0,2.0,-1.0,0,UEFA Euro,Basel,Switzerland,False
2008-06-11,Czech Republic,Portugal,1.0,3.0,-2.0,0,UEFA Euro,Geneva,Switzerland,True
2008-06-10,Greece,Sweden,0.0,2.0,-2.0,0,UEFA Euro,Salzburg,Austria,True
2008-06-10,Spain,Russia,4.0,1.0,3.0,2,UEFA Euro,Innsbruck,Austria,True
2008-06-09,Romania,France,0.0,0.0,0.0,1,UEFA Euro,Zürich,Switzerland,True
2008-06-09,Netherlands,Italy,3.0,0.0,3.0,2,UEFA Euro,Berne,Switzerland,True
2008-06-08,Germany,Poland,2.0,0.0,2.0,2,UEFA Euro,Klagenfurt,Austria,True
2008-06-08,Austria,Croatia,0.0,1.0,-1.0,0,UEFA Euro,Vienna,Austria,False
2008-06-07,Portugal,Turkey,2.0,0.0,2.0,2,UEFA Euro,Geneva,Switzerland,True
2008-06-07,Switzerland,Czech Republic,0.0,1.0,-1.0,0,UEFA Euro,Basel,Switzerland,False
2004-07-04,Portugal,Greece,0.0,1.0,-1.0,0,UEFA Euro,Lisbon,Portugal,False
2004-07-01,Greece,Czech Republic,1.0,0.0,1.0,2,UEFA Euro,Porto,Portugal,True
2004-06-30,Portugal,Netherlands,2.0,1.0,1.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-27,Czech Republic,Denmark,3.0,0.0,3.0,2,UEFA Euro,Porto,Portugal,True
2004-06-26,Sweden,Netherlands,0.0,0.0,0.0,1,UEFA Euro,Faro,Portugal,True
2004-06-25,France,Greece,0.0,1.0,-1.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-24,Portugal,England,2.0,2.0,0.0,1,UEFA Euro,Lisbon,Portugal,False
2004-06-23,Netherlands,Latvia,3.0,0.0,3.0,2,UEFA Euro,Braga,Portugal,True
2004-06-23,Germany,Czech Republic,1.0,2.0,-1.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-22,Italy,Bulgaria,2.0,1.0,1.0,2,UEFA Euro,Guimarães,Portugal,True
2004-06-22,Denmark,Sweden,2.0,2.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-21,Switzerland,France,1.0,3.0,-2.0,0,UEFA Euro,Coimbra,Portugal,True
2004-06-21,Croatia,England,2.0,4.0,-2.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-20,Russia,Greece,2.0,1.0,1.0,2,UEFA Euro,Faro,Portugal,True
2004-06-20,Portugal,Spain,1.0,0.0,1.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-19,Netherlands,Czech Republic,2.0,3.0,-1.0,0,UEFA Euro,Aveiro,Portugal,True
2004-06-19,Latvia,Germany,0.0,0.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-18,Italy,Sweden,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-18,Bulgaria,Denmark,0.0,2.0,-2.0,0,UEFA Euro,Braga,Portugal,True
2004-06-17,England,Switzerland,3.0,0.0,3.0,2,UEFA Euro,Coimbra,Portugal,True
2004-06-17,Croatia,France,2.0,2.0,0.0,1,UEFA Euro,Leiria,Portugal,True
2004-06-16,Portugal,Russia,2.0,0.0,2.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-16,Greece,Spain,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-15,Germany,Netherlands,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-15,Czech Republic,Latvia,2.0,1.0,1.0,2,UEFA Euro,Aveiro,Portugal,True
2004-06-14,Sweden,Bulgaria,5.0,0.0,5.0,2,UEFA Euro,Lisbon,Portugal,True
2004-06-14,Denmark,Italy,0.0,0.0,0.0,1,UEFA Euro,Guimarães,Portugal,True
2004-06-13,Switzerland,Croatia,0.0,0.0,0.0,1,UEFA Euro,Leiria,Portugal,True
2004-06-13,France,England,2.0,1.0,1.0,2,UEFA Euro,Lisbon,Portugal,True
2004-06-12,Spain,Russia,1.0,0.0,1.0,2,UEFA Euro,Faro,Portugal,True
2004-06-12,Portugal,Greece,1.0,2.0,-1.0,0,UEFA Euro,Porto,Portugal,False
2000-07-02,France,Italy,2.0,1.0,1.0,2,UEFA Euro,Rotterdam,Netherlands,True
2000-06-29,Netherlands,Italy,0.0,0.0,0.0,1,UEFA Euro,Amsterdam,Netherlands,False
2000-06-28,France,Portugal,2.0,1.0,1.0,2,UEFA Euro,Brussels,Belgium,True
2000-06-25,Netherlands,Serbia,6.0,1.0,5.0,2,UEFA Euro,Rotterdam,Netherlands,False
2000-06-25,Spain,France,1.0,2.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-24,Italy,Romania,2.0,0.0,2.0,2,UEFA Euro,Brussels,Belgium,True
2000-06-24,Turkey,Portugal,0.0,2.0,-2.0,0,UEFA Euro,Amsterdam,Netherlands,True
2000-06-21,Serbia,Spain,3.0,4.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-21,Slovenia,Norway,0.0,0.0,0.0,1,UEFA Euro,Arnhem,Netherlands,True
2000-06-21,Denmark,Czech Republic,0.0,2.0,-2.0,0,UEFA Euro,Liège,Belgium,True
2000-06-21,Netherlands,France,3.0,2.0,1.0,2,UEFA Euro,Amsterdam,Netherlands,False
2000-06-20,Portugal,Germany,3.0,0.0,3.0,2,UEFA Euro,Rotterdam,Netherlands,True
2000-06-20,England,Romania,2.0,3.0,-1.0,0,UEFA Euro,Charleroi,Belgium,True
2000-06-19,Italy,Sweden,2.0,1.0,1.0,2,UEFA Euro,Eindhoven,Netherlands,True
2000-06-19,Belgium,Turkey,0.0,2.0,-2.0,0,UEFA Euro,Brussels,Belgium,False
2000-06-18,Slovenia,Spain,1.0,2.0,-1.0,0,UEFA Euro,Amsterdam,Netherlands,True
2000-06-18,Norway,Serbia,0.0,1.0,-1.0,0,UEFA Euro,Liège,Belgium,True
2000-06-17,Romania,Portugal,0.0,1.0,-1.0,0,UEFA Euro,Arnhem,Netherlands,True
2000-06-17,England,Germany,1.0,0.0,1.0,2,UEFA Euro,Charleroi,Belgium,True
2000-06-16,Netherlands,Denmark,3.0,0.0,3.0,2,UEFA Euro,Rotterdam,Netherlands,False
2000-06-16,Czech Republic,France,1.0,2.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-15,Sweden,Turkey,0.0,0.0,0.0,1,UEFA Euro,Eindhoven,Netherlands,True
2000-06-14,Belgium,Italy,0.0,2.0,-2.0,0,UEFA Euro,Brussels,Belgium,False
2000-06-13,Spain,Norway,0.0,1.0,-1.0,0,UEFA Euro,Rotterdam,Netherlands,True
2000-06-13,Serbia,Slovenia,3.0,3.0,0.0,1,UEFA Euro,Charleroi,Belgium,True
2000-06-12,Portugal,England,3.0,2.0,1.0,2,UEFA Euro,Eindhoven,Netherlands,True
2000-06-12,Germany,Romania,1.0,1.0,0.0,1,UEFA Euro,Liège,Belgium,True
2000-06-11,Netherlands,Czech Republic,1.0,0.0,1.0,2,UEFA Euro,Amsterdam,Netherlands,False
2000-06-11,Turkey,Italy,1.0,2.0,-1.0,0,UEFA Euro,Arnhem,Netherlands,True
2000-06-11,France,Denmark,3.0,0.0,3.0,2,UEFA Euro,Bruges,Belgium,True
2000-06-10,Belgium,Sweden,2.0,1.0,1.0,2,UEFA Euro,Brussels,Belgium,False
1996-06-30,Czech Republic,Germany,1.0,2.0,-1.0,0,UEFA Euro,London,England,True
1996-06-26,France,Czech Republic,0.0,0.0,0.0,1,UEFA Euro,Manchester,England,True
1996-06-26,England,Germany,1.0,1.0,0.0,1,UEFA Euro,London,England,False
1996-06-23,Germany,Croatia,2.0,1.0,1.0,2,UEFA Euro,Manchester,England,True
1996-06-23,Czech Republic,Portugal,1.0,0.0,1.0,2,UEFA Euro,Birmingham,England,True
1996-06-22,France,Netherlands,0.0,0.0,0.0,1,UEFA Euro,Liverpool,England,True
1996-06-22,England,Spain,0.0,0.0,0.0,1,UEFA Euro,London,England,False
1996-06-19,Turkey,Denmark,0.0,3.0,-3.0,0,UEFA Euro,Sheffield,England,True
1996-06-19,Russia,Czech Republic,3.0,3.0,0.0,1,UEFA Euro,Liverpool,England,True
1996-06-19,Italy,Germany,0.0,0.0,0.0,1,UEFA Euro,Manchester,England,True
1996-06-19,Croatia,Portugal,0.0,3.0,-3.0,0,UEFA Euro,Nottingham,England,True
1996-06-18,France,Bulgaria,3.0,1.0,2.0,2,UEFA Euro,Newcastle,England,True
1996-06-18,Scotland,Switzerland,1.0,0.0,1.0,2,UEFA Euro,Birmingham,England,True
